GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G06037","2018",,,"California","06",,,,,,,,,,,,,"37",,,,,"Congressional District 37 (116th Congress), California",738174,355343,153069,6731,78857,1491,111987,30696,6970,23726,"Congressional District 37 (116th Congress), California",20109,13506,11676,3124,6665,708,12079,4038,2502,2921
"G06038","2018",,,"California","06",,,,,,,,,,,,,"38",,,,,"Congressional District 38 (116th Congress), California",716331,292100,26545,5145,122674,3907,242005,23955,7849,16106,"Congressional District 38 (116th Congress), California",13412,11473,4644,1313,9310,2359,13661,3201,2143,2320
"G06039","2018",,,"California","06",,,,,,,,,,,,,"39",,,,,"Congressional District 39 (116th Congress), California",726541,366507,19667,5376,238123,919,64951,30998,7745,23253,"Congressional District 39 (116th Congress), California",9167,15519,4284,2076,10983,588,9232,3278,1901,3202
"G06040","2018",,,"California","06",,,,,,,,,,,,,"40",,,,,"Congressional District 40 (116th Congress), California",716470,410493,32673,4818,16858,721,233635,17272,7866,9406,"Congressional District 40 (116th Congress), California",13855,14401,4599,1892,3591,443,13548,3237,2130,2783
"G06041","2018",,,"California","06",,,,,,,,,,,,,"41",,,,,"Congressional District 41 (116th Congress), California",775626,388905,69240,4023,52523,1350,226903,32682,10394,22288,"Congressional District 41 (116th Congress), California",7188,14616,6247,1489,5813,834,15600,4987,2844,4247
"G06042","2018",,,"California","06",,,,,,,,,,,,,"42",,,,,"Congressional District 42 (116th Congress), California",826801,529560,51664,5827,72564,2543,122252,42391,11392,30999,"Congressional District 42 (116th Congress), California",9149,14799,6426,1702,6931,1138,13470,5359,2877,4208
"G06043","2018",,,"California","06",,,,,,,,,,,,,"43",,,,,"Congressional District 43 (116th Congress), California",753696,307860,160048,4743,104116,2583,143823,30523,7159,23364,"Congressional District 43 (116th Congress), California",15690,15943,8891,2202,8097,1617,12900,4566,2048,3905
"G06044","2018",,,"California","06",,,,,,,,,,,,,"44",,,,,"Congressional District 44 (116th Congress), California",725177,320876,111873,4247,36898,7805,223763,19715,5811,13904,"Congressional District 44 (116th Congress), California",15263,15286,8276,1830,5614,2694,14789,3534,2124,2931
"G06045","2018",,,"California","06",,,,,,,,,,,,,"45",,,,,"Congressional District 45 (116th Congress), California",797608,495939,12515,2200,203292,1134,42404,40124,5261,34863,"Congressional District 45 (116th Congress), California",8657,13660,2913,1089,8666,748,11179,5191,2222,4500
"G06046","2018",,,"California","06",,,,,,,,,,,,,"46",,,,,"Congressional District 46 (116th Congress), California",735139,420031,16625,4291,87238,906,188633,17415,4368,13047,"Congressional District 46 (116th Congress), California",9991,17057,3511,1753,8482,670,12667,2989,1540,2517
